Week,Data Science: (United States)
6/3/2018,49
6/10/2018,50
6/17/2018,48
6/24/2018,48
7/1/2018,48
7/8/2018,50
7/15/2018,47
7/22/2018,51
7/29/2018,49
8/5/2018,50
8/12/2018,57
8/19/2018,66
8/26/2018,72
9/2/2018,69
9/9/2018,70
9/16/2018,75
9/23/2018,63
9/30/2018,65
10/7/2018,65
10/14/2018,60
10/21/2018,67
10/28/2018,68
11/4/2018,63
11/11/2018,58
11/18/2018,46
11/25/2018,60
12/2/2018,58
12/9/2018,62
12/16/2018,51
12/23/2018,39
12/30/2018,48
1/6/2019,68
1/13/2019,73
1/20/2019,70
1/27/2019,72
2/3/2019,68
2/10/2019,66
2/17/2019,65
2/24/2019,66
3/3/2019,64
3/10/2019,60
3/17/2019,62
3/24/2019,68
3/31/2019,67
4/7/2019,69
4/14/2019,56
4/21/2019,70
4/28/2019,62
5/5/2019,58
5/12/2019,60
5/19/2019,58
5/26/2019,57
6/2/2019,55
6/9/2019,63
6/16/2019,69
6/23/2019,56
6/30/2019,50
7/7/2019,57
7/14/2019,57
7/21/2019,60
7/28/2019,59
8/4/2019,56
8/11/2019,70
8/18/2019,74
8/25/2019,79
9/1/2019,76
9/8/2019,86
9/15/2019,80
9/22/2019,74
9/29/2019,76
10/6/2019,74
10/13/2019,73
10/20/2019,80
10/27/2019,65
11/3/2019,75
11/10/2019,69
11/17/2019,71
11/24/2019,55
12/1/2019,65
12/8/2019,60
12/15/2019,60
12/22/2019,45
12/29/2019,50
1/5/2020,70
1/12/2020,80
1/19/2020,74
1/26/2020,74
2/2/2020,72
2/9/2020,75
2/16/2020,74
2/23/2020,76
3/1/2020,71
3/8/2020,58
3/15/2020,47
3/22/2020,53
3/29/2020,60
4/5/2020,63
4/12/2020,64
4/19/2020,65
4/26/2020,64
5/3/2020,64
5/10/2020,61
5/17/2020,64
5/24/2020,61
5/31/2020,59
6/7/2020,61
6/14/2020,62
6/21/2020,60
6/28/2020,57
7/5/2020,65
7/12/2020,64
7/19/2020,65
7/26/2020,61
8/2/2020,62
8/9/2020,66
8/16/2020,74
8/23/2020,84
8/30/2020,82
9/6/2020,82
9/13/2020,86
9/20/2020,79
9/27/2020,71
10/4/2020,72
10/11/2020,63
10/18/2020,64
10/25/2020,59
11/1/2020,43
11/8/2020,59
11/15/2020,55
11/22/2020,44
11/29/2020,57
12/6/2020,62
12/13/2020,47
12/20/2020,39
12/27/2020,38
1/3/2021,49
1/10/2021,59
1/17/2021,51
1/24/2021,57
1/31/2021,53
2/7/2021,58
2/14/2021,49
2/21/2021,51
2/28/2021,59
3/7/2021,53
3/14/2021,47
3/21/2021,46
3/28/2021,51
4/4/2021,53
4/11/2021,54
4/18/2021,53
4/25/2021,50
5/2/2021,56
5/9/2021,55
5/16/2021,53
5/23/2021,51
5/30/2021,47
6/6/2021,51
6/13/2021,46
6/20/2021,50
6/27/2021,48
7/4/2021,44
7/11/2021,47
7/18/2021,49
7/25/2021,47
8/1/2021,50
8/8/2021,53
8/15/2021,57
8/22/2021,71
8/29/2021,68
9/5/2021,69
9/12/2021,65
9/19/2021,69
9/26/2021,68
10/3/2021,71
10/10/2021,68
10/17/2021,74
10/24/2021,72
10/31/2021,67
11/7/2021,70
11/14/2021,68
11/21/2021,55
11/28/2021,68
12/5/2021,58
12/12/2021,73
12/19/2021,50
12/26/2021,46
1/2/2022,83
1/9/2022,85
1/16/2022,78
1/23/2022,90
1/30/2022,80
2/6/2022,83
2/13/2022,85
2/20/2022,81
2/27/2022,78
3/6/2022,76
3/13/2022,80
3/20/2022,84
3/27/2022,94
4/3/2022,94
4/10/2022,91
4/17/2022,93
4/24/2022,89
5/1/2022,81
5/8/2022,86
5/15/2022,85
5/22/2022,71
5/29/2022,63
6/5/2022,69
6/12/2022,70
6/19/2022,69
6/26/2022,66
7/3/2022,68
7/10/2022,67
7/17/2022,69
7/24/2022,68
7/31/2022,71
8/7/2022,72
8/14/2022,89
8/21/2022,100
8/28/2022,100
9/4/2022,93
9/11/2022,99
9/18/2022,99
9/25/2022,93
10/2/2022,92
10/9/2022,96
10/16/2022,90
10/23/2022,89
10/30/2022,89
11/6/2022,85
11/13/2022,83
11/20/2022,60
11/27/2022,83
12/4/2022,77
12/11/2022,80
12/18/2022,64
12/25/2022,53
1/1/2023,72
1/8/2023,88
1/15/2023,93
1/22/2023,93
1/29/2023,90
2/5/2023,90
2/12/2023,82
2/19/2023,79
2/26/2023,82
3/5/2023,78
3/12/2023,74
3/19/2023,86
3/26/2023,89
4/2/2023,86
4/9/2023,85
4/16/2023,85
4/23/2023,83
4/30/2023,86
5/7/2023,81
5/14/2023,74
5/21/2023,73
